canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
APP,APP,326,0,Crear Inversion Virtual,Transacción Exitosa
APP,APP,2021,502,Transferencia de QR,El sistema no está disponible. Estamos trabajando para solucionarlo lo más pronto posible.
SVP,BLP,538,30,Transferencia De Fondos Desde Cuenta De Ahorros,Disponible Insuficiente En Cuenta A Debitar
APP,APP,438,705,Transferencia De Fondos Desde Cuenta Corriente,Supera Valor Maximo Personalizado
SVP,BLP,364,998,Pago De Credito Hipotecario,Supera Maximo De Intentos
APP,APP,531,4,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Cuenta No Autorizada A La Solicitud
SVP,SVP,326,0,Crear Inversion Virtual,Transacción Exitosa
APP,APP,2021,100,Transferencia de QR,"Superaste el valor máximo diario o número de transacciones personalizadas. Puedes modificarlo ingresando a la Sucursal Virtual Personas, opción Seguridad, Editar límite de montos."
MOV,MOV,558,822,Transferencia Comunidad Banca Móvil,Numero De Cuenta Invalido
MOV,ALM,531,117,Pago con Validación de Base de Datos App ALM,Canal No Vßlido Para El Convenio
APP,APP,549,510,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,"Fid: No Hay Saldo Disponible 257,259,278,279,280"
APP,APP,549,412,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Fid: Monto Retiro Inferior Al Minimo
APP,APP,531,21,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,La referencia ingresada no es válida
APP,APP,549,441,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Fid: Error Horario Transferencias Transf A Cuentas
